"","rii","rii_infci","rii_supci","encuesta","risk_factor","sexo","sii","sii_infci","sii_supci"
"1",3.17334256100791,2.18351546661759,4.61187619847891,2001,"diabetes","overall",5.63855710466665,3.6697266159539,7.60738759337939
"2",11.8621332708234,6.008639725313,23.4179801365017,2003,"diabetes","overall",7.96691587213776,5.59873877842844,10.3350929658471
"3",3.39409102688348,2.51083024421537,4.58806561109069,2006,"diabetes","overall",5.815535789208,4.02409588205959,7.6069756963564
"4",2.66820336111571,2.05823946054604,3.4589314376377,2009,"diabetes","overall",6.64279032065267,4.68850605178987,8.59707458951546
"5",1.59166166218013,1.37637322749941,1.84062490917284,2011,"diabetes","overall",3.30132458311735,2.05760971481785,4.54503945141686
"6",2.23788200054931,1.80592334758167,2.77316080723415,2014,"diabetes","overall",8.18264981626087,6.15608117278219,10.2092184597396
"7",2.01325228084697,1.69041531228286,2.3977449310145,2017,"diabetes","overall",9.73134832257248,7.56450443977289,11.8981922053721
"8",1.83364313994951,1.54562565012469,2.17533085350431,2020,"diabetes","overall",9.1154094777744,6.93932972462904,11.2914892309198
"9",2.15667999013213,1.34239903704913,3.46489266713181,2001,"diabetes","men",4.75570854287295,2.10907551265551,7.4023415730904
"10",4.7937337604273,1.84084172654149,12.4833564094803,2003,"diabetes","men",4.4826189435687,1.66589213493883,7.29934575219857
"11",2.02906826283189,1.35976933394947,3.02780619656526,2006,"diabetes","men",4.71095411861348,2.23500986483335,7.1868983723936
"12",1.87688497888907,1.33689163237872,2.63499085390452,2009,"diabetes","men",5.82474116872827,3.22880250854492,8.42067982891163
"13",1.14668553106026,0.934763702719201,1.40665250834835,2011,"diabetes","men",2.68264111865823,0.921918931497452,4.44336330581901
"14",1.49194837600263,1.13512708880178,1.96093457606277,2014,"diabetes","men",6.63556407385623,3.96234815628133,9.30877999143114
"15",1.36180365663301,1.08848828906922,1.70374749810571,2017,"diabetes","men",7.73527938549431,5.27013548073046,10.2004232902582
"16",1.54269916309961,1.23079684221293,1.93364219520518,2020,"diabetes","men",5.17841976258862,2.44835939389978,7.90848013127746
"17",5.68295388138479,3.08885381844682,10.4556468891707,2001,"diabetes","women",-0.791266521665881,-3.1973667581752,1.61483371484343
"18",26.2913556675467,9.92145889084518,69.6707400032938,2003,"diabetes","women",9.62645886180045,6.31283214461946,12.9400855789814
"19",6.31018212723368,3.98765737083651,9.98541117651401,2006,"diabetes","women",7.17914223499865,4.8957223030779,9.46256216691941
"20",4.3117816779812,2.86993971901267,6.47799712147623,2009,"diabetes","women",8.15643986568145,5.55475702485807,10.7581227065048
"21",2.24394122955021,1.82050087246099,2.76587191901124,2011,"diabetes","women",6.41642207975191,4.46838691671644,8.36445724278738
"22",4.13507956029692,2.91122112455778,5.87344012646332,2014,"diabetes","women",10.5211761934324,7.86685408381553,13.1754983030492
"23",3.65595487935434,2.75058374128813,4.85933435846436,2017,"diabetes","women",12.8538228378304,10.0633963803854,15.6442492952754
"24",2.31427712459044,1.77813101250219,3.01208323331911,2020,"diabetes","women",10.3825476934093,7.55007798435768,13.2150174024609
"25",2.02825555199628,1.63184087067427,2.52096920608681,2001,"hta","overall",9.62757978519825,6.45218047172517,12.8029790986713
"26",2.74585303049861,1.92718344068942,3.91229433893496,2003,"hta","overall",11.5370359457141,8.00783027450529,15.0662416169229
"27",1.86208027588173,1.60286660043403,2.16321367784997,2006,"hta","overall",12.3096105872027,9.39889711478927,15.2203240596161
"28",1.75810319747385,1.52990001909228,2.02034565291506,2009,"hta","overall",14.0210172296612,10.9793443855845,17.0626900737379
"29",1.08286951055187,0.994863378370308,1.17866071098495,2011,"hta","overall",4.8161673224955,2.81590458989214,6.81643005509887
"30",1.63609950207599,1.45476215870298,1.84004069990374,2014,"hta","overall",16.4491088830338,13.4815375665611,19.4166801995065
"31",1.33407236546704,1.20462370335164,1.4774315592089,2017,"hta","overall",14.3800126251703,11.3351489952636,17.424876255077
"32",1.31018643836956,1.1852785565067,1.4482574529541,2020,"hta","overall",13.6482485666467,10.7286602884937,16.5678368447996
"33",1.2015163452272,0.895070988299749,1.61287936568073,2001,"hta","men",4.04939913368373,0.658349017174076,7.44044925019338
"34",1.13519243514496,0.667513577916209,1.93054030276534,2003,"hta","men",2.42138016048518,-0.467540838861726,5.31030115983209
"35",1.19350105228013,0.959634051896868,1.48436245981282,2006,"hta","men",7.10054167597265,3.80634151692702,10.3947418350183
"36",1.30863458352958,1.07811392422256,1.58844481527734,2009,"hta","men",9.02784333218527,5.41725725243843,12.6384294119321
"37",0.889761652777718,0.785766558746292,1.0075203505948,2011,"hta","men",-0.349649428646439,-0.827641560727965,0.128342703435087
"38",1.10705263594314,0.944330651404302,1.297813998652,2014,"hta","men",8.92544472702632,8.03416623247368,9.81672322157897
"39",0.962811198018004,0.836836587045945,1.10774961011351,2017,"hta","men",12.525359461761,9.83648817843344,15.2142307450886
"40",1.11858349421646,0.973481252065887,1.28531395019491,2020,"hta","men",12.5797589907674,12.1241250384643,13.0353929430705
"41",3.61677363257409,2.61507144442981,5.00217748817006,2001,"hta","women",15.8699876129854,11.7519709953853,19.9880042305855
"42",5.14669876219513,3.18757261385877,8.30993089651213,2003,"hta","women",4.07590581019262,0.530506448317594,7.62130517206765
"43",2.68372313029783,2.17974999271334,3.30421831135327,2006,"hta","women",17.6855235088244,13.613792074094,21.7572549435548
"44",2.34297302120673,1.9140972578716,2.86794338977671,2009,"hta","women",18.3270331665661,13.8568081643135,22.7972581688188
