"","rii","rii_infci","rii_supci","encuesta","ccaa","sexo","nombre","nombre_notilde","abreviatura","id_mapa","fr"
"52",2.8263892114743,1.78318305417128,4.47989675319725,"2009",1,"Global","Andalucía","Andalucia","AN",61,"diabetes"
"53",2.27732156451919,1.42276192482754,3.64515905136608,"2009",2,"Global","Aragón","Aragon","AR",62,"diabetes"
"54",2.30942828908631,1.45132945226384,3.674878239474,"2009",3,"Global","Asturias","Asturias","AS",63,"diabetes"
"55",2.31173887247454,1.43298545677743,3.72937254124547,"2009",4,"Global","Balears","Balears","IB",64,"diabetes"
"56",2.73190727282593,1.70676539953496,4.37278453696842,"2009",5,"Global","Canarias","Canarias","CN",65,"diabetes"
"57",2.34433082804464,1.47037871961459,3.7377356989776,"2009",6,"Global","Cantabria","Cantabria","CB",66,"diabetes"
"58",2.43512965128987,1.51243358618733,3.92073838662868,"2009",7,"Global","Castilla y León","Castilla y Leon","CL",67,"diabetes"
"59",2.58570965931585,1.63774451579065,4.08237938079832,"2009",8,"Global","Castilla - La Mancha","Castilla - La Mancha","CM",68,"diabetes"
"60",2.18583957588381,1.36293436943044,3.50559407603507,"2009",9,"Global","Cataluña","Catalunya","CT",69,"diabetes"
"61",2.90374127394678,1.79291000329966,4.70280904814206,"2009",10,"Global","Comunitat Valenciana","Comunitat Valenciana","VC",77,"diabetes"
"62",2.54466751746357,1.60229984452612,4.04127404527664,"2009",11,"Global","Extremadura","Extremadura","EX",70,"diabetes"
"63",2.31636697678109,1.45283962004532,3.69315091431399,"2009",12,"Global","Galicia","Galicia","GA",71,"diabetes"
"64",2.53197593527251,1.61000937184312,3.98190361430008,"2009",13,"Global","Madrid","Madrid","MD",72,"diabetes"
"65",2.7101392030188,1.69648760670196,4.32944777829414,"2009",14,"Global","Murcia","Murcia","MC",73,"diabetes"
"66",2.39647761771107,1.50603444355105,3.81339550153218,"2009",15,"Global","Navarra","Navarra","NC",74,"diabetes"
"67",2.43756599891195,1.5378725495547,3.86360235168516,"2009",16,"Global","País Vasco","Pais Vasco","PV",75,"diabetes"
