"","rii","rii_infci","rii_supci","encuesta","risk_factor","sexo","ccaa"
"1",3.33527114613247,2.26464626696889,4.91204025126304,2003,"diabetes","Overall",0
"2",2.50043940005634,1.83352836038175,3.40992663568746,2006,"diabetes","Overall",0
"3",1.69125192851106,1.38352986407386,2.06741694557284,2011,"diabetes","Overall",0
"4",2.81965344252627,2.12708507725076,3.737718637106,2014,"diabetes","Overall",0
"5",2.46337215636453,1.94864972103207,3.11405498651552,2017,"diabetes","Overall",0
"6",2.22790462161688,1.74457546523654,2.8451386035908,2020,"diabetes","Overall",0
"7",2.25561299202323,1.3806086538635,3.68517896476043,2003,"diabetes","Hombres",0
"8",1.68459378066034,1.14824808546123,2.4714660897515,2006,"diabetes","Hombres",0
"9",1.15709135846913,0.880305952270123,1.52090350904853,2011,"diabetes","Hombres",0
"10",1.68114809737014,1.21122166159864,2.33339529410412,2014,"diabetes","Hombres",0
"11",1.44559261664068,1.0875756005575,1.92146459723335,2017,"diabetes","Hombres",0
"12",2.05665251728787,1.51468578023891,2.79253930554453,2020,"diabetes","Hombres",0
"13",5.05299514023278,2.70346808643933,9.44444656672263,2003,"diabetes","Mujeres",0
"14",4.93576014953411,3.00176640593547,8.11579748695899,2006,"diabetes","Mujeres",0
"15",2.71476048855049,2.01599536435754,3.65572492898243,2011,"diabetes","Mujeres",0
"16",6.56313415063887,3.96661583496606,10.8593147588367,2014,"diabetes","Mujeres",0
"17",5.97223719300966,4.00259219952971,8.91112941602162,2017,"diabetes","Mujeres",0
"18",2.48458372121939,1.67572479352075,3.6838723707002,2020,"diabetes","Mujeres",0
"19",1.50369191493586,1.24908517544796,1.81019630965725,2003,"hta","Overall",0
"20",1.54455153079214,1.34480415752004,1.77396791788012,2006,"hta","Overall",0
"21",1.10832083195109,0.998967187975944,1.22964505873874,2011,"hta","Overall",0
"22",1.67666158928072,1.47077581730162,1.91136817174961,2014,"hta","Overall",0
"23",1.37339637472856,1.22101646047399,1.54479293537561,2017,"hta","Overall",0
"24",1.38015241592133,1.2250972334074,1.55483225268214,2020,"hta","Overall",0
"25",0.963801950163257,0.738513972177762,1.25781533475836,2003,"hta","Hombres",0
"26",1.14994015444717,0.950133497480634,1.39176480180558,2006,"hta","Hombres",0
"27",0.842845092801227,0.72979969396031,0.973401135048632,2011,"hta","Hombres",0
"28",1.11820524525952,0.946337063252604,1.32128711753958,2014,"hta","Hombres",0
"29",0.939499466062968,0.807344605650283,1.09328685737815,2017,"hta","Hombres",0
"30",1.09836661177248,0.943949244153367,1.27804457848641,2020,"hta","Hombres",0
"31",2.28449269763924,1.76500120488892,2.95688573532472,2003,"hta","Mujeres",0
"32",2.2540416750231,1.84959809623012,2.74692317379462,2006,"hta","Mujeres",0
"33",1.50481424793289,1.29525743659977,1.74827478831263,2011,"hta","Mujeres",0
"34",2.84252405346215,2.29647346812719,3.51841338759302,2014,"hta","Mujeres",0
"35",2.22504906133565,1.83784362664559,2.69383273613266,2017,"hta","Mujeres",0
"36",1.81756795907132,1.49985381562547,2.20258351275725,2020,"hta","Mujeres",0
"37",1.28923757741519,1.03281379382255,1.6093254572711,2003,"col","Overall",0
"38",1.1654416840527,0.998882741914508,1.35977353690614,2006,"col","Overall",0
"39",1.047427465798,0.932640654408663,1.17634191788865,2011,"col","Overall",0
"40",1.12096951105838,0.969482989408467,1.29612655245159,2014,"col","Overall",0
"41",1.10720651870726,0.970505444984358,1.26316269671996,2017,"col","Overall",0
"42",1.19545107665895,1.03889811062841,1.37559522157625,2020,"col","Overall",0
"43",1.07668865522641,0.783626777801787,1.47935023806255,2003,"col","Hombres",0
"44",0.896790032093916,0.727241680378477,1.10586670616082,2006,"col","Hombres",0
"45",0.836769647856417,0.714617921926369,0.979801124615365,2011,"col","Hombres",0
"46",0.938694678589852,0.782397294412834,1.12621516703247,2014,"col","Hombres",0
"47",0.923051113634351,0.778029680027978,1.09510392759178,2017,"col","Hombres",0
"48",1.1170947313836,0.930784240772872,1.34069807396911,2020,"col","Hombres",0
"49",1.54431186972189,1.13438936743093,2.10236380861452,2003,"col","Mujeres",0
"50",1.59070212652899,1.26630494571422,1.99820214230994,2006,"col","Mujeres",0
"51",1.33991526356712,1.12875645732765,1.5905759846466,2011,"col","Mujeres",0
"52",1.36884686848606,1.07882271898154,1.73683934940952,2014,"col","Mujeres",0
"53",1.36703955371774,1.10938998984143,1.684526774661,2017,"col","Mujeres",0
"54",1.25551008567468,1.00890758234789,1.56238847126366,2020,"col","Mujeres",0
"55",2.94551102662227,2.36383213213314,3.67032628502435,2003,"obesity","Overall",0
"56",2.66184782363984,2.23428192438307,3.17123535704769,2006,"obesity","Overall",0
"57",1.73705485417324,1.52672728729013,1.97635792032152,2011,"obesity","Overall",0
"58",3.12016349349149,2.63137719264041,3.69974333339425,2014,"obesity","Overall",0
"59",2.56585615256396,2.19576172144874,2.99832979659857,2017,"obesity","Overall",0
"60",2.49158232274208,2.09327550879491,2.96567864331186,2020,"obesity","Overall",0
"61",1.83222248511704,1.38692765390229,2.42048619156379,2003,"obesity","Hombres",0
"62",1.77359225218678,1.39791953485167,2.25022213267143,2006,"obesity","Hombres",0
"63",1.32833665286907,1.12132944422104,1.57355920015205,2011,"obesity","Hombres",0
"64",1.69682125075771,1.36929953893523,2.10268263090326,2014,"obesity","Hombres",0
"65",1.58505088662238,1.29521858126264,1.93973924519613,2017,"obesity","Hombres",0
"66",1.74437826977681,1.39711047523623,2.17796344813394,2020,"obesity","Hombres",0
