"","rii","rii_infci","rii_supci","encuesta","risk_factor","sexo","sii","sii_infci","sii_supci"
"1",1.62571724105969,1.24083783499641,2.12997740183058,2001,"diabetes","overall",2.08298035237194,0.93096561394662,3.23499509079726
"2",1.87859629879277,1.53593225789201,2.29770814155661,2003,"diabetes","overall",2.9266986382123,1.96068610233651,3.89271117408808
"3",1.74501426291537,1.45728992527121,2.08954630439194,2006,"diabetes","overall",2.86510162879536,1.92366409442831,3.80653916316241
"4",1.75613168147347,1.52095014457885,2.02767887801398,2011,"diabetes","overall",1.58616097713907,0.807606934346174,2.36471501993196
"5",1.66380209253309,1.40930085717624,1.96426291023772,2014,"diabetes","overall",3.99900898261369,2.75090643316565,5.24711153206173
"6",1.63104450414435,1.40062251164654,1.89937413712714,2017,"diabetes","overall",4.01425452724075,2.70471596575569,5.3237930887258
"7",1.57571191787437,1.34675614317267,1.84359140347576,2020,"diabetes","overall",1.4527325469589,0.368567486223829,2.53689760769397
"8",1.45702138421572,1.02110618625857,2.07903090063576,2001,"diabetes","men",2.19719824304362,0.910765175447406,3.48363131063984
"9",1.5754408856033,1.1470970670614,2.16373492296414,2003,"diabetes","men",0.123618285843881,-0.732914412924525,0.980150984612286
"10",1.10319608372753,0.850613367680689,1.43078118143169,2006,"diabetes","men",0.655198147888528,-0.360183343322257,1.67057963909931
"11",1.33061849075671,1.09082073358727,1.62313156821016,2011,"diabetes","men",1.94626764696726,0.81388202831229,3.07865326562224
"12",1.19781017323598,0.955361263167824,1.50178708978655,2014,"diabetes","men",2.25961160058909,0.733122462551112,3.78610073862707
"13",1.3467515089236,1.09648100590285,1.65414596059924,2017,"diabetes","men",0.181179101729308,-1.20635763167024,1.56871583512885
"14",1.30991981674044,1.05805703443807,1.62173670269165,2020,"diabetes","men",0.0030375799989271,-0.211276717869604,0.217351877867458
"15",1.89282193032407,1.24595857824611,2.87551682894554,2001,"diabetes","women",1.95012489970922,0.402110216905559,3.49813958251288
"16",2.11262563437261,1.62727990545997,2.74272855950169,2003,"diabetes","women",3.74434168313903,2.40219143385267,5.08649193242538
"17",2.63123270466997,2.04400713821813,3.38716309580031,2006,"diabetes","women",4.2174231531455,3.00508012756372,5.42976617872727
"18",2.35913055607791,1.91290635894505,2.90944559549156,2011,"diabetes","women",4.66466064924652,3.40774616084548,5.92157513764756
"19",2.40616453889291,1.87931343103661,3.08071431439311,2014,"diabetes","women",5.17359418320027,3.53897699098642,6.80821137541413
"20",2.05536323871601,1.63608539065529,2.58208897114663,2017,"diabetes","women",4.61674979572496,2.99035214429355,6.24314744715637
"21",1.94986583030197,1.54542137954218,2.46015540260321,2020,"diabetes","women",4.8473893783841,3.08861723140605,6.60616152536216
"22",1.22332945688849,1.04049597084377,1.43829000978975,2001,"hta","overall",1.15915574790523,-0.100111037936789,2.41842253374724
"23",1.32350941323517,1.17521628306528,1.4905147181532,2003,"hta","overall",0.109959652295861,-0.5522357377943,0.772155042386022
"24",1.34414449589987,1.22500948094347,1.47486566754278,2006,"hta","overall",6.05732285060677,4.53080923335051,7.58383646786302
"25",1.27555261819689,1.17721161324061,1.38210875894272,2011,"hta","overall",5.21983039357522,3.82341795788436,6.61624282926608
"26",1.34397987141338,1.22648987299379,1.47272467106093,2014,"hta","overall",7.33512533506913,5.49515067739519,9.17509999274307
"27",1.27635695874102,1.16811167459778,1.39463299747226,2017,"hta","overall",6.23328380933514,4.39413344132139,8.07243417734889
"28",1.31457278611326,1.19980950536333,1.44031331829319,2020,"hta","overall",6.87870112669909,4.9210695565522,8.83633269684598
"29",0.927348487047095,0.738478729867826,1.16452266212523,2001,"hta","men",0.407118711243318,-0.961610411337521,1.77584783382416
"30",0.995176246069778,0.817169423594757,1.21195890612847,2003,"hta","men",0.124581418918617,-0.856952162005986,1.10611499984322
"31",1.18245005853534,1.01975390757941,1.37110348932039,2006,"hta","men",2.90076105461013,1.11718037394802,4.68434173527224
"32",1.01544597375452,0.905152944791192,1.1391782256778,2011,"hta","men",-0.262091016716952,-1.30150340421867,0.777321370784765
"33",1.09602353543875,0.960709751984938,1.2503959575238,2014,"hta","men",3.24757136218517,1.11271097101895,5.3824317533514
"34",0.997340478669754,0.879477838287264,1.13099840279127,2017,"hta","men",0.440546537203913,-1.03942334275808,1.9205164171659
"35",1.10685024532686,0.972554210860456,1.25969067009255,2020,"hta","men",2.14747357456865,0.0924588919093895,4.20248825722791
"36",1.62214942334029,1.28537408111763,2.04716182650522,2001,"hta","women",4.53195701608663,2.01105020632509,7.05286382584818
"37",1.54929189154235,1.33448846682863,1.7986707452805,2003,"hta","women",6.33742896580504,4.36721431076226,8.30764362084783
"38",1.44911081210356,1.28627817902292,1.63255676726986,2006,"hta","women",2.77364830777108,1.15476244130066,4.3925341742415
"39",1.57664439364951,1.40896667902323,1.76427702729615,2011,"hta","women",8.89470609234593,6.94770776787145,10.8417044168204
"40",1.61021204331166,1.41735372085081,1.82931246186698,2014,"hta","women",10.2317771273152,7.67650421832988,12.7870500363004
"41",1.61152272505142,1.42101684173334,1.82756841234151,2017,"hta","women",9.76042959426393,7.22587934892962,12.2949798395982
"42",1.54583873007019,1.3582934068933,1.75927923028837,2020,"hta","women",9.61896189413626,6.9067916796122,12.3311321086603
"43",1.36824902003716,1.14072695239585,1.64115117723896,2001,"col","overall",2.52352550990839,1.09530032136629,3.95175069845049
"44",1.27619365024887,1.10558101127556,1.47313513557588,2003,"col","overall",2.33141955746781,1.2690270693163,3.39381204561932
