"","sexo","education_3","encuesta","diabetes","diabetes_low","diabetes_upp","hta","hta_low","hta_upp","col","col_low","col_upp","obesity","obesity_low","obesity_upp","sobrepeso","sobrepeso_low","sobrepeso_upp","smoking","smoking_low","smoking_upp","alcohol","alcohol_low","alcohol_upp","sedentarismo","sedentarismo_low","sedentarismo_upp","food","food_low","food_upp"
"27","1",1,2006,0.106653858836561,0.0953523388878208,0.117955378785302,0.298869257259856,0.281416163657041,0.316322350862671,0.21128357583186,0.196158537176472,0.226408614487248,0.207025887159917,0.191397747667819,0.222654026652016,0.679419646622714,0.660232957291478,0.698606335953949,0.349695671301817,0.330196957373074,0.36919438523056,0.750215715810952,0.72083047161659,0.779600960005314,0.426445659418733,0.406739489859789,0.446151828977678,0.688466845960526,0.67076343198693,0.706170259934122
"28","1",1,2009,0.117789893207559,0.105395980025624,0.130183806389493,0.308078768396438,0.289855395476536,0.32630214131634,0,0,0,0.237431827786398,0.220260274725997,0.254603380846799,0.699076744625487,0.679689810332715,0.71846367891826,0.365200376733816,0.345003547084105,0.385397206383526,0.30786856791221,0.288844820151731,0.326892315672689,0.86256979963597,0.847700597880402,0.877439001391539,0.495779592292575,0.475310514030457,0.516248670554692
"29","1",1,2011,0.109084170567867,0.0972663322181855,0.120902008917548,0.260936605182202,0.244733613286808,0.277139597077595,0.223435322592649,0.207933745705079,0.238936899480219,0.204498073517472,0.189399558020335,0.219596589014608,0.642586195813816,0.622712075282748,0.662460316344884,0.311804143985212,0.293247581743896,0.330360706226528,0.699205797901329,0.669823002824699,0.728588592977959,0.456176072410604,0.436229916353134,0.476122228468074,0.683182315687557,0.665002498227469,0.701362133147646
"30","1",1,2014,0.159320018620801,0.144185980674277,0.174454056567326,0.38289722285587,0.362495795487213,0.403298650224528,0.301551935636324,0.282455653194117,0.320648218078531,0.234217206393007,0.216172549898787,0.252261862887226,0.701247991425395,0.681014584246111,0.721481398604678,0.263307047332633,0.243738698544936,0.28287539612033,0.30784769913836,0.287421035487995,0.328274362788726,0.397014715087549,0.376051316331317,0.417978113843781,0.650528781324078,0.630227658220608,0.670829904427548
"31","1",1,2017,0.18881015120936,0.172033544458116,0.205586757960604,0.400330917179411,0.37879332913204,0.421868505226782,0.342581493743575,0.321624378403273,0.363538609083878,0.234583742823555,0.215950223783837,0.253217261863274,0.709875397068689,0.688961279752253,0.730789514385126,0.259362940701608,0.239007293364273,0.279718588038944,0.327249754590032,0.306209739741914,0.34828976943815,0.437844481326867,0.415531543524031,0.460157419129704,0.697080882211291,0.67656179012293,0.717599974299652
"32","1",1,2020,0.194504800420997,0.175833576161742,0.213176024680251,0.415690293224275,0.392190153937291,0.439190432511259,0.305024050992933,0.283342898619217,0.326705203366649,0.228043360820278,0.20772267449633,0.248364047144227,0.716589714644856,0.694298757281263,0.73888067200845,0.253958521757547,0.232098281196093,0.275818762319002,0.36464305085245,0.340952586894633,0.388333514810268,0.480675441708885,0.456353002705927,0.504997880711843,0.643999596748875,0.620551593644782,0.667447599852968
"33","1",2,2001,0.0253234194666154,0.0199434901048699,0.0307033488283609,0.0637478606580724,0.0556816502336767,0.0718140710824681,0.0692387733307858,0.0608152009056836,0.077662345755888,0.0974350687791983,0.0875914637682551,0.107278673790142,0.525977707175045,0.509482167898923,0.542473246451166,0.496387439675724,0.479871104367552,0.512903774983897,0,0,0,0.393522690214076,0.377359674795182,0.40968570563297,0.815201629995735,0.8022044209071,0.828198839084369
"34","1",2,2003,0.0345468404344447,0.0241828417469189,0.0449108391219706,0.0916456416805168,0.0759794978585539,0.10731178550248,0.0768348305702144,0.0620165162674379,0.0916531448729909,0.106836206372284,0.0890531398477783,0.124619272896789,0.574588212936295,0.545266025340447,0.603910400532144,0.388653363847165,0.36012854770162,0.417178179992711,0.285968790721868,0.258193067751352,0.313744513692384,0.47844073062596,0.449148630160544,0.507732831091375,0.713936991863952,0.687639957133708,0.740234026594196
"35","1",2,2006,0.0376079483054503,0.0304730553087769,0.0447428413021237,0.142214605366937,0.128947618770683,0.155481591963191,0.142129532544105,0.129197992100601,0.15506107298761,0.13569119088803,0.122499969166328,0.148882412609731,0.560421158421583,0.540541477633088,0.580300839210078,0.396713411369367,0.377106900283893,0.41631992245484,0.573951867958883,0.535191333400808,0.612712402516957,0.351475091320533,0.332711373429271,0.370238809211795,0.76449831462331,0.747933915887251,0.781062713359368
"36","1",2,2009,0.0372806218815534,0.0311576385595335,0.0434036052035733,0.130300216762292,0.118882630508017,0.141717803016568,0,0,0,0.145929286895567,0.133328993758275,0.15852958003286,0.595193938653621,0.577079368686189,0.613308508621052,0.390837839742326,0.373016298053973,0.408659381430678,0.190124488054639,0.175487883728532,0.204761092380747,0.750345917161987,0.733783581770178,0.766908252553796,0.587673154493296,0.569738210579249,0.605608098407344
"37","1",2,2011,0.0625590017225308,0.0562557214023981,0.0688622820426636,0.193916805053876,0.184408159050291,0.203425451057461,0.184242251085159,0.174740867780226,0.193743634390093,0.173719166998606,0.164261694001015,0.183176639996197,0.627062717594076,0.614422675571149,0.639702759617003,0.331877860837396,0.319868397625496,0.343887324049296,0.577168603932508,0.554183194322944,0.600154013542072,0.380237557156957,0.367636596742999,0.392838517570914,0.676597491979815,0.66467457715917,0.68852040680046
"38","1",2,2014,0.0510745129958386,0.0442092805387047,0.0579397454529725,0.166839117536542,0.155214702455818,0.178463532617267,0.160840355737631,0.149419927940871,0.172260783534391,0.158619923155458,0.146817980267662,0.170421866043253,0.591254845777059,0.574769717252567,0.607739974301551,0.37178743809531,0.355718835253673,0.387856040936947,0.174397537316644,0.161570211478885,0.187224863154403,0.310376390511179,0.295054539624375,0.325698241397984,0.72251393649849,0.707855541731795,0.737172331265185
"39","1",2,2017,0.0637276261140806,0.0566560623612981,0.070799189866863,0.187029445018073,0.17546742436083,0.198591465675315,0.173839611958382,0.162472352445953,0.185206871470811,0.180849944606868,0.168941885966833,0.192758003246903,0.615520283691657,0.600062679362753,0.630977888020561,0.331868802425227,0.317048364751353,0.346689240099101,0.197952583882403,0.185246624426795,0.210658543338012,0.331929103493787,0.317090136923092,0.346768070064481,0.74042475937115,0.726787527160152,0.754061991582148
