"","ccaa","education_3","encuesta","sexo","diabetes","diabetes_low","diabetes_upp","hta","hta_low","hta_upp","col","col_low","col_upp","obesity","obesity_low","obesity_upp","sobrepeso","sobrepeso_low","sobrepeso_upp","smoking","smoking_low","smoking_upp","alcohol","alcohol_low","alcohol_upp","sedentarismo","sedentarismo_low","sedentarismo_upp","food","food_low","food_upp","nombre","nombre_notilde","abreviatura","id_mapa"
"1",1,1,2001,"0",0.144610789337746,0.106373467954472,0.182848110721021,0.341545981083688,0.289987443864555,0.393104518302821,0.19386495270922,0.150883555546525,0.236846349871915,0.344648804816391,0.292977860736171,0.396319748896611,0.741567704214342,0.693974631921863,0.789160776506821,0.135378349096927,0.0981828712304521,0.172573826963401,0,0,0,0.713875814274547,0.664741365732513,0.763010262816581,0.729237871023483,0.680927991847709,0.777547750199257,"Andalucía","Andalucia","AN",61
"2",1,1,2001,"1",0.140520576206492,0.101582304879892,0.179458847533092,0.248386898059073,0.199973486468509,0.296800309649637,0.196063955135949,0.151581429749494,0.240546480522405,0.251641941318528,0.203018831401678,0.300265051235378,0.718953079711496,0.668587692246249,0.769318467176743,0.428112190267027,0.372671691578255,0.483552688955798,0,0,0,0.614422551375652,0.5598879428645,0.668957159886803,0.843106153612391,0.802352074125058,0.883860233099725,"Andalucía","Andalucia","AN",61
"3",1,1,2003,"0",0.102083437582844,0.0808459379616032,0.123320937204084,0.180050308584169,0.152507516800057,0.207593100368281,0.110771834337247,0.089204428484692,0.132339240189803,0.218514779965736,0.186855269492417,0.250174290439055,0.539709893836315,0.500353147461203,0.579066640211427,0.273004831404946,0.236116485465017,0.309893177344876,0.664227559513617,0.626423115956163,0.70203200307107,0.79323951773727,0.76148059002334,0.8249984454512,0.647368330746341,0.611027562823956,0.683709098668726,"Andalucía","Andalucia","AN",61
"4",1,1,2003,"1",0.0761760785688624,0.0546037823254102,0.0977483748123145,0.104560420487221,0.0793374607287567,0.129783380245685,0.101244206482293,0.076709134368238,0.125779278596348,0.184295231274099,0.151816843449703,0.216773619098494,0.647212779358927,0.605477334064938,0.688948224652917,0.411143169923032,0.369106084614209,0.453180255231855,0.322332577173379,0.282016355298533,0.362648799048225,0.672681559404368,0.630908069832556,0.71445504897618,0.756415001948191,0.719771436022465,0.793058567873917,"Andalucía","Andalucia","AN",61
"5",1,1,2006,"0",0.0995644353307575,0.0767098150002538,0.122419055661261,0.291611214015891,0.257087093750616,0.326135334281165,0.202304474929501,0.171771402977059,0.232837546881942,0.256934975713714,0.223015450522783,0.290854500904645,0.658690818892397,0.621189964874801,0.696191672909993,0.213919870778287,0.181454068553061,0.246385673003514,0.88946330216782,0.86072097966535,0.918205624670289,0.534278002414594,0.495349430726022,0.573206574103167,0.63276678465019,0.595286726590778,0.670246842709602,"Andalucía","Andalucia","AN",61
"6",1,1,2006,"1",0.128339710251636,0.0936669791852795,0.163012441317993,0.291444085748101,0.242496242509194,0.340391928987007,0.191308003995593,0.150803496681805,0.231812511309381,0.215856866582583,0.170803158669697,0.26091057449547,0.673594780459245,0.616993667284606,0.730195893633883,0.412176892451345,0.354890549223386,0.469463235679303,0.881288264037092,0.82136542982841,0.941211098245775,0.47666447405427,0.419962403852708,0.533366544255833,0.764316896106803,0.718429439641287,0.810204352572318,"Andalucía","Andalucia","AN",61
"7",1,1,2009,"0",0.145581552543866,0.115420583393777,0.175742521693956,0.391969671916787,0.347671087170897,0.436268256662676,0,0,0,0.336480074564984,0.293073630182565,0.379886518947403,0.727611630597434,0.6844852614621,0.770737999732767,0.162118392676922,0.127036252610342,0.197200532743503,0.746492366933966,0.70593984052648,0.787044893341451,0.934179850730271,0.907678073479912,0.96068162798063,0.40606977881995,0.359591983213833,0.452547574426067,"Andalucía","Andalucia","AN",61
"8",1,1,2009,"1",0.0997351998477627,0.0721300978884273,0.127340301807098,0.274029489356229,0.23163999745821,0.316418981254248,0,0,0,0.271198053108979,0.227731409852489,0.314664696365469,0.740975398588605,0.694863954958778,0.787086842218432,0.392646491407381,0.342681163282858,0.442611819531903,0.381792732654234,0.332816040813331,0.430769424495137,0.795623359807863,0.753777032177822,0.837469687437904,0.517437964173114,0.467556736562067,0.567319191784161,"Andalucía","Andalucia","AN",61
"9",1,1,2011,"0",0.0929013798981105,0.0692472191380939,0.116555540658127,0.271449987051574,0.231225305055467,0.311674669047682,0.216726737794061,0.180237392290713,0.25321608329741,0.237156946779812,0.198320067283717,0.275993826275907,0.584434067577403,0.53632072658882,0.632547408565987,0.241722202345278,0.199070304474026,0.28437410021653,0.802437582045995,0.758046217571246,0.846828946520744,0.623055766261175,0.57584819577941,0.67026333674294,0.782418000063415,0.743309780689921,0.821526219436909,"Andalucía","Andalucia","AN",61
"10",1,1,2011,"1",0.125965226683217,0.0912087557686754,0.160721697597758,0.214730659647169,0.177555067430082,0.251906251864256,0.192598810728405,0.156433841635346,0.228763779821463,0.213520454742626,0.175662950573689,0.251377958911563,0.623090291794041,0.56986170749017,0.676318876097912,0.368473276197566,0.319157912821419,0.417788639573713,0.711780668588791,0.641643164586315,0.781918172591266,0.541949921611197,0.490575303479673,0.593324539742721,0.833726536047332,0.797237109084374,0.87021596301029,"Andalucía","Andalucia","AN",61
